Test Date,Hardness (kg/cm2),Brix (%),pH,Titratable acidity (g/ml),Label
04-08-2021,7,8,2.85,2.025,0.95
04-08-2021,5.4,15,4.81,0.36,0.95
04-08-2021,9,11,3.41,1.44,0.95
04-08-2021,7.6,11,3.13,1.44,0.95
04-08-2021,3,10,3.25,1.575,0.95
04-08-2021,6,10,3.03,2.925,0.95
04-08-2021,12,8,2.74,3.24,0.95
04-08-2021,9,10,3.19,1.62,0.95
04-08-2021,2.4,10,3.71,0.81,0.95
04-08-2021,1.6,15,5.09,0.405,0.95
04-08-2021,5,7,4.95,2.52,0.95
04-08-2021,6,13,3.3,1.98,0.95
04-08-2021,3.4,17,3.78,2.745,0.95
04-08-2021,4,12,3.09,1.44,0.95
04-08-2021,3.6,15,3.61,0.18,0.95
10-08-2021,4.6,15,3.64,1.035,0.9
10-08-2021,4,16,3.7,0.9,0.9
10-08-2021,2.4,18,3.42,2.205,0.9
10-08-2021,1.2,10,2.74,2.925,0.9
10-08-2021,3.6,12,4.25,0.405,0.9
10-08-2021,3.4,12,3.86,0.945,0.9
10-08-2021,0.3,12,4,1.535625,0.9
10-08-2021,3.8,10,3.04,0.765,0.9
10-08-2021,3.4,16,3.32,3.105,0.9
16-08-2021,2.2,12.4,4,1.175375,0.7
16-08-2021,6,12,3.07,2.916,0.7
16-08-2021,4,15,4.65,0.202,0.7
16-08-2021,3.2,18,3.87,1.296,0.7
16-08-2021,4,13,4.51,0.202,0.7
16-08-2021,2,12.3,4,1.175375,0.7
16-08-2021,3,13,3.08,1.337,0.7
16-08-2021,3,15,3.82,1.377,0.7
16-08-2021,4.6,12,3.17,1.263,0.7
16-08-2021,3,17,3.75,0.81,0.7
22-08-2021,1.2,14,5.12,0.1215,0.4
22-08-2021,1.2,10,5.01,1.1215,0.4
22-08-2021,3,12,4.33,1.903,0.4
22-08-2021,6.8,10,3.29,3.604,0.4
22-08-2021,0.8,7.2,5,1.427142857,0.4
22-08-2021,2,7,3.97,0.243,0.4
22-08-2021,5.6,15,3.26,1.377,0.4
22-08-2021,3,12,3.4,1.62,0.4
22-08-2021,3.5,10.25,4,1.427142857,0.4
22-08-2021,2.6,7.5,3,1.427142857,0.4
28-08-2021,0,11,6,0.3675,0.2
28-08-2021,1,12,4.57,0.243,0.2
28-08-2021,1,15,3.89,0.405285714,0.2
28-08-2021,1.2,18,4.18,0.364,0.2
28-08-2021,2.6,18,4.08,0.405285714,0.2
28-08-2021,1.8,12,4.23,0.202,0.2
28-08-2021,1,15,4.21,0.283,0.2
28-08-2021,2.25,10.1,4.5,0.3675,0.2
28-08-2021,3.6,12,3.46,1.01,0.2
28-08-2021,1,15,3.75,0.405285714,0.2
03-09-2021,1,18,4.04,0.364,0.05
03-09-2021,3,5,3.39,1.174,0.05
03-09-2021,1.4,7.5,4,0.961025,0.05
03-09-2021,1,5,3.2,1.66,0.05
03-09-2021,3,8,4.06,0.283,0.05
03-09-2021,4,9,3.2,1.336,0.05
03-09-2021,3,10,4.07,0.486,0.05
03-09-2021,1,12,3.68,0.607,0.05
03-09-2021,3.4,7,4.5,0.961025,0.05
03-09-2021,2,5,3.2,1.7782,0.05
